Time,bitstamp,cex.io,coinbase,exmo,kraken,paymium,total_volume,usd_proxy_volume,usd_proxy_share
2025-06-02,63.67607668,1.82783802,75.26451563,9.82332662,65.77232963,0.051803,216.41588958,138.94059231,64.20073525083721
2025-06-09,1017.70404486,1.82783802,1479.03950891,73.27967406,994.45606183,7.18046387,3573.48759155,2496.74355377,69.86853850210342
2025-06-16,998.46844655,0.00047,1641.57499464,73.22018623,1217.29095351,8.78065115,3939.33570208,2640.04344119,67.01747809398515
2025-06-23,922.48355883,1.82783802,1250.52024971,73.3968686,1014.33579533,5.22551779,3267.78982828,2173.00380854,66.49766119395015
2025-06-30,679.81577289,1.82783802,1187.20226661,73.21948617,871.37679981,9.96681834,2823.40898184,1867.0180394999998,66.12637600533786
2025-07-07,1247.3038191,3.64463146,2096.98460927,74.16843229,1663.43729663,16.53974046,5102.07852921,3344.28842837,65.54756868643936
2025-07-14,1187.76997583,1.56090559,1989.94933049,74.8098649000001,1243.0626756,15.68978227,4512.84253468,3177.71930632,70.41502737797892
2025-07-21,967.29049307,0.83029207,1341.12369379,74.11507699,885.56697138,11.7776742,3280.7042015,2308.41418686,70.36337460123802
2025-07-28,1050.0808407,2.90684945,1531.63664137,73.68857623,1099.04259647,11.32120682,3768.6767110399996,2581.71748207,68.50461528066577
2025-08-04,1030.71740081,2.67760657,1016.07949008,73.96225921,813.46524793,12.79830181,2949.7003064100004,2046.7968908900002,69.38999485615882
2025-08-11,1229.43369584,1.82783802,1445.83489695,73.02822045,1328.99231042,12.48034634,4091.5973080199997,2675.26859279,65.38445480805667
2025-08-18,1494.89243061,6.04099315,1566.12521956,74.88175595,1078.02304733,13.62693961,4233.590386209999,3061.01765017,72.30311321899727
2025-08-25,420.05865737,2.09000402,139.1283032,34.30228549,1226.46214396,12.41221409,1834.45360813,559.18696057,30.482480346833214
2025-09-01,1052.38266157,2.99857062,1445.83489695,71.80276439,1069.6458894,8.89777692,3651.56255985,2498.2175585200002,68.41502829469867
2025-09-08,931.551359700001,1.9247859,1445.83489695,72.74447923,1018.26745287,12.21562338,3482.5385980300007,2377.386256650001,68.26589827302529
2025-09-15,1499.57961834,1.82783802,1445.83489695,73.36187859,759.69501664,13.56844135,3793.86768989,2945.41451529,77.63619493476325
2025-09-22,1126.7900056,1.82783802,1445.83489695,75.00334791,1039.14634779,8.99715173,3697.599588,2572.62490255,69.57554059934085
2025-09-29,1659.9625171,0.00495,1445.83489695,76.0524266799999,1476.43386865,21.51062942,4679.7992888,3105.79741405,66.36603884878133
2025-10-06,2627.10105973,1.82783802,1445.83489695,76.75282293,2312.78868198,19.88509927,6484.1903988799995,4072.9359566800003,62.81333067245388
2025-10-13,1378.57046486,0.0021,1445.83489695,117.09248318,1653.07111643,14.81369536,4609.384756779999,2824.4053618099997,61.27510526552482
2025-10-20,978.643802860001,1.82783802,1445.83489695,184.98415684,1280.66198321,6.12304569,3898.0757235700007,2424.4786998100008,62.19680867537315
2025-10-27,624.13414158,1.82783802,1445.83489695,168.15041682,1199.63354103,12.31625404,3451.8970884399996,2069.96903853,59.96612834901958
2025-11-03,1451.32489024,0.002,1445.83489695,165.24935383,2089.59390921,13.94185673,5165.94690696,2897.1597871900003,56.08187306932446
2025-11-10,1459.65849912,0.00245,1445.83489695,172.61102814,2368.64394338,7.96799415,5454.71881174,2905.49339607,53.26568602980246
2025-11-17,2256.83525834,1.82783802,1445.83489695,191.92562201,3166.81374614,12.93781018,7076.17517164,3702.6701552900004,52.32586906736872
2025-11-24,1119.28670593,1.82783802,1445.83489695,181.20972147,1898.03212714,9.29789075,4655.4891802600005,2565.12160288,55.098862945628035
2025-12-01,1306.97736277,1.82783802,1445.83489695,166.20386039,1747.43378217001,15.04910261,4683.32684291001,2752.81225972,58.77899091940218
